2025-05-19 01:28:36,945 | INFO | eliaselpuci | 127.0.0.1 | GET /redirect/ | Acceso de usuario
2025-05-19 01:28:36,985 | INFO | eliaselpuci | 127.0.0.1 | GET /dashboard/entidad/ | Acceso de usuario
2025-05-19 03:07:52,336 | SECURITY | INFO |  | 127.0.0.1 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 200, 'response_time': 0.008930683135986328, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:07:56,734 | SECURITY | INFO |  | 127.0.0.1 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 200, 'response_time': 0.0021228790283203125, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:08:04,183 | SECURITY | INFO | admin | 127.0.0.1 | request | POST / | Context: {'method': 'POST', 'path': '/', 'status': 200, 'response_time': 0.46636176109313965, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {'csrfmiddlewaretoken': '*****', 'username': ['admin'], 'password': '*****'}}
2025-05-19 03:08:04,265 | SECURITY | WARNING | admin | 127.0.0.1 | request | GET /favicon.ico | Context: {'method': 'GET', 'path': '/favicon.ico', 'status': 404, 'response_time': 0.0030062198638916016, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:09:52,016 | SECURITY | WARNING | anonymous | 0.0.0.0 |  | Forbidden (CSRF token from POST incorrect.): / | Context: 
2025-05-19 03:09:52,025 | SECURITY | WARNING | anonymous | 0.0.0.0 | request | POST / | Context: {'method': 'POST', 'path': '/', 'status': 403, 'response_time': 0.016131877899169922, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {'csrfmiddlewaretoken': '*****', 'username': ['admin'], 'password': '*****'}}
2025-05-19 03:09:52,027 | SECURITY | INFO | admin | 127.0.0.1 | POST / | Acceso de usuario | Context: 
2025-05-19 03:09:54,568 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 302, 'response_time': 0.002007722854614258, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:09:54,569 | SECURITY | INFO | admin | 127.0.0.1 | GET / | Acceso de usuario | Context: 
2025-05-19 03:09:54,589 | SECURITY | WARNING | anonymous | 0.0.0.0 | admin_access | Suspicious activity detected: admin_access | Context: {'path': '/dashboard/admin/', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0'}
2025-05-19 03:09:54,608 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET /dashboard/admin/ | Context: {'method': 'GET', 'path': '/dashboard/admin/', 'status': 200, 'response_time': 0.019216299057006836, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:09:54,608 | SECURITY | INFO | anonymous | 0.0.0.0 | admin_access | Sensitive endpoint accessed: admin_access | Context: {'method': 'GET', 'status': 200, 'user': 'admin', 'ip': '127.0.0.1'}
2025-05-19 03:09:54,608 | SECURITY | INFO | admin | 127.0.0.1 | GET /dashboard/admin/ | Acceso de usuario | Context: 
2025-05-19 03:10:02,450 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 302, 'response_time': 0.0010018348693847656, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:10:02,454 | SECURITY | INFO | admin | 127.0.0.1 | GET / | Acceso de usuario | Context: 
2025-05-19 03:10:02,470 | SECURITY | WARNING | anonymous | 0.0.0.0 | admin_access | Suspicious activity detected: admin_access | Context: {'path': '/dashboard/admin/', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0'}
